Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..,..,4.9,5,5,5,5,5,4.9,4.8,4.6,4.4,4.3,4.1,4,4,3.9,4,4,4.1,4.1,4.1,..,..
Afghanistan,AFG,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..,..,4.8,4.8,4.6,4.6,4.6,4.5,4.4,4.3,4.2,4,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.4,3.5,3.6,..,..
Afghanistan,AFG,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..,..,5,5.2,5.4,5.3,5.4,5.4,5.4,5.3,5.1,4.8,4.6,4.5,4.3,4.3,4.2,4.3,4.4,4.6,4.6,4.6,..,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.655,12.348,12.037,11.718,11.387,11.048,10.704,10.356,10.003,9.645,9.287,8.932,8.584,8.25,7.936,7.645,7.38,7.141,6.929,6.742,6.575,6.423,6.285,6.157,..
Afghanistan,AFG,"Population ages 0-14, female",SP.POP.0014.FE.IN,4515377,4640145,4772697,4941837,5137506,5353947,5579221,5792148,5976085,6173718,6354167,6523612,6692547,6868889,7024632,7173441,7311698,7434608,7538168,7640116,7732304,7814309,7885531,7947146,8010458
Afghanistan,AFG,"Population ages 0-14, male",SP.POP.0014.MA.IN,4841218,4943489,5056016,5218183,5411610,5640277,5885568,6114720,6301959,6511422,6688306,6846070,7008078,7192151,7341865,7500396,7657099,7796013,7905639,8024679,8122731,8203122,8271660,8333700,8401013
Afghanistan,AFG,"Population ages 0-14, total",SP.POP.0014.TO,9356593,9583636,9828707,10160022,10549109,10994238,11464836,11906924,12278044,12685156,13042470,13369666,13700611,14061038,14366484,14673818,14968789,15230632,15443806,15664814,15855058,16017446,16157198,16280845,16411474
Afghanistan,AFG,"Population ages 15-64, female",SP.POP.1564.FE.IN,4596996,4676699,4770582,4901895,5097016,5339888,5610866,5883477,6140838,6325599,6487043,6642357,6815683,7023445,7302694,7627967,7986446,8358558,8730445,9076529,9413852,9749017,10092939,10452059,10816707
Afghanistan,AFG,"Population ages 15-64, male",SP.POP.1564.MA.IN,4946928,5015263,5103716,5241777,5469968,5756830,6074051,6384124,6663946,6827106,6955667,7076163,7223804,7421549,7739084,8115940,8533346,8963516,9386355,9750113,10100169,10444644,10796549,11164198,11535866
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,9543910,9691968,9874319,10143670,10567001,11096697,11684838,12267512,12804785,13152676,13442717,13718559,14039528,14444996,15041824,15743958,16519812,17322062,18116800,18826589,19513959,20193609,20889465,21616257,22352572
Afghanistan,AFG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,232512,236654,240979,246717,254716,264833,276150,287338,297667,309845,320362,330587,342521,357421,374724,395096,417170,438835,458824,479389,497970,515553,533560,552871,573282
Afghanistan,AFG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,224095,225520,226857,229548,236176,244999,255015,264882,273779,285368,294997,303492,312173,322056,334412,348538,363833,379274,394172,412202,429085,445277,461518,478367,498102
Afghanistan,AFG,"Population ages 65 and above, total",SP.POP.65UP.TO,456623,462165,467820,476265,490882,509839,531197,552252,571446,595225,615355,634055,654668,679477,709103,743602,780991,818110,852997,891625,927094,960867,995094,1031239,1071382
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,9344885,9553498,9784258,10090449,10489238,10958668,11466237,11962963,12414590,12809162,13161572,13496556,13850751,14249755,14702050,15196504,15715314,16232001,16727437,17196034,17644126,18078879,18512030,18952076,19400447
